experiment,variant,conf,resolution,avg_fps,avg_processing_ms,frames_processed,unique_track_ids,avg_objects_per_frame,new_id_events
tracker_comparison,ByteTrack,0.3,original,38.89,25.72,300,6,3.03,53
tracker_comparison,BoT-SORT,0.3,original,22.55,44.35,300,6,3.03,53
confidence_threshold,conf_0.15,0.15,original,33.35,29.99,300,6,3.28,65
confidence_threshold,conf_0.25,0.25,original,36.08,27.72,300,6,3.28,65
confidence_threshold,conf_0.35,0.35,original,33.18,30.14,300,5,2.74,67
confidence_threshold,conf_0.5,0.5,original,33.16,30.16,300,4,2.0,28
confidence_threshold,conf_0.65,0.65,original,32.87,30.42,300,3,1.85,14
resolution,240p,0.3,240p,33.51,29.85,300,5,2.75,69
resolution,480p,0.3,480p,35.28,28.35,300,6,3.06,54
resolution,720p,0.3,720p,30.95,32.31,300,6,3.03,53
device_comparison,CPU,0.3,original,10.05,99.46,300,6,3.03,53
device_comparison,GPU (fp32),0.3,original,16.22,61.67,300,6,3.03,53
device_comparison,GPU (fp16),0.3,original,20.16,49.61,300,6,3.03,53
